Feature,RawImportance,ImportancePercent,Feature_TR,Feature_EN
C0_mgL,9.0468245413709,58.162685432631875,C0,C0
süre_dk,2.8286752976928566,18.18575686733006,Süre,Time
pH,2.7683970693654896,17.798223803478937,pH,pH
Doz_mg,0.9104477269290512,5.853333896559112,Doz,Dose
