original_index,qe_experimental,qe_predicted,error,absolute_error,Neuron,R2,RMSE,SSE,ARE,HYBRID,MPSD,MAE
64,45.25,37.466213,7.783786773681641,7.783786773681641,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
28,35.78,34.46716,1.3128407287597668,1.3128407287597668,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
22,30.1,40.7901,-10.690100097656249,10.690100097656249,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
67,50.75,38.4659,12.284099578857422,12.284099578857422,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
45,33.56,30.349024,3.2109761810302757,3.2109761810302757,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
31,25.34,28.547337,-3.2073365783691408,3.2073365783691408,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
18,35.2,34.46716,0.7328407287597685,0.7328407287597685,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
5,14.4,28.978281,-14.578281021118164,14.578281021118164,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
61,46.44,36.46653,9.973470153808591,9.973470153808591,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
9,25.3,32.637535,-7.337535095214843,7.337535095214843,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
47,34.92,31.378557,3.5414427947998064,3.5414427947998064,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
70,50.41,39.465584,10.944416198730465,10.944416198730465,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
49,35.78,32.408092,3.3719075012207043,3.3719075012207043,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
68,51.47,38.4659,13.00409957885742,13.00409957885742,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
40,28.52,29.319489,-0.7994885253906254,0.7994885253906254,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
10,25.8,32.637535,-6.837535095214843,6.837535095214843,1,0.3871011019346581,8.195455921657846,1074.6479642213862,22.02885542999907,300.7279792665663,36.48714231183984,6.8506347894668576
