Neuron,R2,RMSE,SSE,ARE,HYBRID,MPSD,MAE
1,0.38710110193465785,8.195455921657846,1074.6479642213862,22.028855429999073,300.72797926656625,36.48714231183984,6.8506347894668576
2,0.4784268781051082,7.560252492160873,914.5186839235952,19.500377391241305,227.97826319270192,28.107732439717942,6.421691932678221
3,0.597379828174208,6.642422002549836,705.9483209593307,19.44539163381008,238.26086399034804,35.10696939908739,5.664245047569274
4,0.6606177299685021,6.09850344760668,595.067908807529,16.688586791530792,191.47860174926075,30.068937425277813,4.834003643989564
5,0.4600383267123027,7.692370006226853,946.7609010031762,23.54902674792182,378.87808344668167,46.25255751948108,6.240475912094116
6,0.6963337948638049,5.768686391672903,532.4438829675541,14.21290160020226,122.47173769588804,20.99897335334173,4.746671175956726
7,0.6993432868073018,5.740029855146913,527.1670838076463,17.367305729408194,180.76133865253976,30.402891634060087,4.952050900459289
8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
9,-0.7138817134888096,13.704686996861735,3005.095130911218,32.44877602128111,685.9645952950644,45.656621688958396,11.391412978172301
10,0.9625673796762017,2.025367389877632,65.63380902367571,4.782953741701227,15.810399145631457,6.986756462921495,1.6434822940826401
11,0.8809833768905944,3.611457516899504,208.68200634191885,7.458189813527833,54.88792407832402,13.600459788301933,2.5342821550369257
12,0.7281155251325664,5.458469691235086,476.7182619221129,14.329594323183498,131.02346337165648,21.312928943330732,4.391815204620361
13,0.9667777547406713,1.9080651024396758,58.25139896237009,4.965471789124636,13.906190573860986,6.518662122243332,1.6638203454017635
14,0.9460950424378319,2.430485602579002,94.51616422950102,5.441562389132719,25.11148237144337,9.25718628265829,1.8161874294281002
15,0.7437888469320395,5.298802274460523,449.23688870124823,15.231944609067632,129.33318389329364,23.91605279263579,4.650230622291565
16,0.8058795085769649,4.6122664618992,340.36803064896253,13.629787611334478,111.03683785278768,23.46520370709631,3.9651174306869508
17,0.8264220892333762,4.361400077392386,304.3489701612531,13.336204443672973,112.99827401718488,24.660473883479074,3.633259868621826
18,0.9585804444870173,2.1304993967885864,72.62444287546448,5.9488644044629595,20.547563619238332,9.093220184884657,1.7973104906082145
19,0.7298654231501684,5.440875482920396,473.65001633030806,16.098605129972157,190.69019926063638,33.1969614072148,4.262639141082763
20,0.9007623093304535,3.297744640932238,174.00191546875675,9.31117895554882,46.93934821381612,13.887712289627776,2.912628450393677
21,0.9630388873896093,2.012571028168745,64.80707429478718,5.08609932357876,15.291740598640674,6.7951309917170075,1.7550195026397706
22,0.9589998804201985,2.1196846764978274,71.88901004447519,5.588026788754978,17.832748566807492,7.583205790811634,1.8179649305343624
23,0.9277575215576372,2.8136820311047908,126.66890515459168,6.636486286538837,27.944639829288647,8.85801928924152,2.3486302065849314
24,0.9363655264826393,2.640735636275964,111.57575521116513,6.38320408683127,26.4498419719949,8.941600952499408,2.14868052482605
25,0.9101433456967049,3.138006368518757,157.55334350182846,9.196126173536692,49.67733773206052,15.396399073347824,2.6803283452987676
26,0.9463493104057397,2.4247465652780185,94.07033449324075,6.021929736590026,22.61919195255269,8.313544694011284,2.044564621448517
27,0.947046576664815,2.4089385374073102,92.84775803209715,5.357332443654859,22.107192743531378,8.362200740980997,1.8107546281814573
28,0.9608990580641275,2.0700093559432746,68.55901973908306,5.482763342625681,16.604014618426927,7.243602157939358,1.8191827726364131
29,0.9177457970117896,3.0023253129013328,144.22331655180938,8.017287411049399,37.02608906655504,11.601239264925608,2.534057130813599
30,0.9507439134223206,2.3233179646122064,86.36490183503689,5.910989215994055,20.139988471860967,7.951066275780256,1.9652461004257207
31,0.9704634440034428,1.7991137629439953,51.78896531223204,4.2626841938942635,11.361307725977293,5.836756219595009,1.4581483793258663
32,0.9716441659048314,1.7627872957052109,49.71870479839505,4.398398425207893,11.034003228929384,5.713260352776376,1.5194722604751583
33,0.9697667098090281,1.8202096180622485,53.01060885898106,4.714823451687419,13.339045539172831,6.5620273413887595,1.5657735753059385
34,0.9406525391703403,2.5502324632044657,104.05896986211066,7.11175379874313,28.83673571271528,11.050149848302212,2.17344084262848
35,0.9817063627242838,1.4158874437697124,32.07579605479569,3.4986788027791302,7.312660611049098,4.661323507345004,1.2072973847389217
36,0.9706565630973203,1.7932225377339852,51.450353117393824,4.320776522796838,11.331342303205828,5.789318500507681,1.4904561233520504
37,0.9420047762829251,2.5210114176329625,101.68797708537217,5.904046044167025,23.245655237880577,8.23015870253913,2.0719353127479563
38,0.974065835604203,1.6858340770304945,45.47258456443615,4.249486888891085,10.690610266894748,5.706070562740083,1.4664467167854305
39,0.9694046831043106,1.8310751825838596,53.645381188392236,4.195255163311263,11.881496863336414,5.825312574363965,1.4680615258216854
40,0.9678297080551992,1.8776135019868636,56.40691940549398,4.75301116380225,13.387099206526546,6.412215417373644,1.6168906879425045
