original_index,qe_experimental,qe_predicted,error,absolute_error,Neuron,R2,RMSE,SSE,ARE,HYBRID,MPSD,MAE
64,45.25000000000001,44.645744,0.6042556762695384,0.6042556762695384,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
28,35.78,34.963383,0.8166172790527355,0.8166172790527355,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
22,30.1,28.422657,1.6773429870605483,1.6773429870605483,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
67,50.75,47.8732,2.876800537109375,2.876800537109375,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
45,33.56000000000001,29.5442,4.0157991027832125,4.0157991027832125,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
31,25.34,27.63262,-2.292619857788086,2.292619857788086,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
18,35.2,34.963383,0.23661727905273722,0.23661727905273722,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
5,14.4,14.668592,-0.26859245300292933,0.26859245300292933,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
61,46.43999999999999,41.41829,5.021710815429678,5.021710815429678,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
9,25.3,28.198454,-2.8984539031982415,2.8984539031982415,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
47,34.92,30.636538,4.283462448120119,4.283462448120119,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
70,50.41,51.100655,-0.6906546020507847,0.6906546020507847,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
49,35.78,31.72887,4.051129608154298,4.051129608154298,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
68,51.46999999999999,47.8732,3.5968005371093668,3.5968005371093668,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
40,28.519999999999996,28.451868,0.06813194274901946,0.06813194274901946,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
10,25.8,28.198454,-2.3984539031982415,2.3984539031982415,8,0.930886930901963,2.7520656398633387,121.18184457786253,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573
