Neuron,R2,RMSE,SSE,ARE,HYBRID,MPSD,MAE,SSE_norm,ARE_norm,HYBRID_norm,MPSD_norm,MAE_norm,RMSE_norm,TOTAL_SCORE
1,0.3871011019346578,8.195455921657846,1074.6479642213862,22.028855429999076,300.72797926656625,36.48714231183984,6.8506347894668576,0.3506778970265056,0.6400730362790397,0.4323502279443632,0.7652049659120056,0.5541313188124757,0.551686798095938,3.2941242440703276
2,0.4784268781051082,7.560252492160873,914.5186839235952,19.500377391241305,227.97826319270192,28.107732439717942,6.421691932678221,0.2968170699473153,0.5527338463732517,0.32515283800730066,0.5637343899325375,0.5120125061523745,0.4999971739994048,2.7504478244121846
3,0.597379828174208,6.642422002549836,705.9483209593307,19.44539163381008,238.26086399034804,35.10696939908739,5.664245047569274,0.22666267824224517,0.5508345174343463,0.34030434686203304,0.7320207398236496,0.43763718331164175,0.42530879734831856,2.7127682630222347
4,0.6606177299685021,6.09850344760668,595.067908807529,16.688586791530792,191.47860174926075,30.068937425277813,4.834003643989564,0.18936712121312935,0.45560841779564054,0.27137024404706145,0.6108886769389679,0.3561140116662765,0.38104747201761946,2.264395943678695
5,0.4600383267123027,7.692370006226853,946.7609010031762,23.54902674792182,378.87808344668167,46.25255751948108,6.240475912094116,0.30766201020773176,0.6925830954491072,0.5475051404791703,1.0,0.4942185191417643,0.5107482252713524,3.5527169905491256
6,0.6963337948638049,5.768686391672903,532.4438829675541,14.21290160020226,122.47173769588804,20.99897335334173,4.746671175956726,0.1683030046412137,0.37009280889653384,0.16968798171695737,0.392814741712869,0.3475386506315737,0.35420863763767463,1.802645825236822
7,0.6993432868073018,5.740029855146913,527.1670838076463,17.367305729408194,180.76133865253976,30.402891634060087,4.952050900459289,0.16652810896595144,0.47905286196295177,0.25557825621207353,0.6189181143123536,0.36770532319320387,0.3518767144581823,2.2396593791047166
8,0.930886930901963,2.7520656398633387,121.18184457786252,6.3851055076182845,27.674453209969464,8.959071633056947,2.2373401832580573,0.029971567113057502,0.09970352372407378,0.030003292642790367,0.10333302744655005,0.10114209614660084,0.1087313850568444,0.4728848921299169
9,-0.7138817134888096,13.704686996861737,3005.095130911218,32.44877602128111,685.9645952950644,45.6566216889584,11.3914129781723,1.0,1.0,1.0,0.9856716001658238,1.0,1.0,5.985671600165824
10,0.9625673796762017,2.025367389877632,65.63380902367571,4.782953741701227,15.810399145631456,6.986756462921495,1.64348229408264,0.011287519248676752,0.04436167965962192,0.012521497545776477,0.05591161240606478,0.042829925224431485,0.049596377862194556,0.21650861194676596
11,0.8809833768905944,3.611457516899504,208.68200634191885,7.458189813527833,54.88792407832402,13.600459788301931,2.5342821550369257,0.05940298073966348,0.13677021465123726,0.07010259757002868,0.2149283735690203,0.1302994607753305,0.1786643246676895,0.7901679519729696
12,0.7281155251325664,5.458469691235086,476.7182619221129,14.329594323183498,131.02346337165648,21.31292894333073,4.391815204620361,0.14955922440672276,0.3741236320782488,0.18228902982234613,0.400363341735109,0.312694587042471,0.3289647804897433,1.7479945955746412
13,0.9667777547406712,1.908065102439676,58.25139896237009,4.965471789124636,13.906190573860986,6.518662122243332,1.6638203454017635,0.008804383678466227,0.050666254253822665,0.009715628329980195,0.04465697301398578,0.04482696179894144,0.04005091437479954,0.19872111544999585
14,0.946095042437832,2.430485602579002,94.51616422950102,5.441562389132719,25.11148237144337,9.25718628265829,1.8161874294281,0.02100234177512364,0.06711147018573374,0.026226731039500413,0.11050075537485234,0.059788210287183396,0.08256283735655881,0.36719234601895234
15,0.7437888469320395,5.298802274460523,449.2368887012482,15.231944609067632,129.33318389329364,23.91605279263579,4.650230622291565,0.14031563392661175,0.40529279462280293,0.17979838713501653,0.4629516229230508,0.3380689472704546,0.3159718582694123,1.842399244147349
16,0.8058795085769649,4.6122664618992,340.36803064896253,13.629787611334478,111.03683785278768,23.46520370709631,3.965117430686951,0.10369667999789696,0.34995076983992185,0.1528385493957712,0.4521116203059627,0.27079622384944707,0.26010506594399097,1.5894989093329908
